Data Set (Source)	Data Set (Sink)	Linker	Distance Method	Distance Threshold	Time taken	Memory used	Setup comparisons	Total comparisons	Number of links	Number of matches	True Positives	False Positives	False Negatives	Min links quality	Max links quality	Average links quality	Min pairs quality	Max pairs quality	Average pairs quality	Min pairs completeness	Max pairs completeness	Average pairs completeness	Precision	Recall	F1 Measure	Shingle size	Number of bands	Band size	Blocking Method	Branching factor
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	0.00	107254	431472576	0	1677025	1670	18479	1668	2	16811	0.00	0.01	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.09	0.17	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	1.00	106992	433292784	0	1677025	1800	18479	1797	3	16682	0.00	0.01	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.10	0.18	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	2.00	109532	433317936	0	1677025	1867	18479	1860	7	16619	0.00	0.01	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.10	0.18	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	3.00	107104	414033208	0	1677025	1948	18479	1941	7	16538	0.00	0.01	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.11	0.19	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	4.00	109495	414062296	0	1677025	2041	18479	2034	7	16445	0.00	0.01	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.11	0.20	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	5.00	106556	413808328	0	1677025	2149	18479	2142	7	16337	0.00	0.02	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.12	0.21	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	6.00	105871	432258992	0	1677025	2276	18479	2268	8	16211	0.00	0.02	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.12	0.22	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	7.00	103723	413034376	0	1677025	2373	18479	2364	9	16115	0.00	0.02	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.13	0.23	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	8.00	99471	414169488	0	1677025	2451	18479	2442	9	16037	0.00	0.02	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.13	0.23	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	9.00	106780	413070656	0	1677025	2534	18479	2525	9	15954	0.00	0.02	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.14	0.24	NA	NA	NA	NA	NA
